ngram,adasen,bikolano,cebuano,chavacano,english,ilokano,ilonggo,kinaray-a,masbatenyo,paranan,romblomanon,spanish,tagalog,tausug,waray,yami
lte,0.0,2.5717564881960094e-05,0.0,3.49117806880248e-05,0.00011173744996391729,0.0,0.0,0.0,0.0,0.0,1.430946774925978e-05,9.86798526893045e-05,0.0,0.0,0.0,0.0
aji,0.0,0.0,0.0,1.0766598848748842e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4424541246948755e-05,0.0,0.0006848273672216145
fit,0.0,0.0,0.0,0.0,0.00010310215266711303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ic_,0.00031980099620959623,0.0,0.0,0.0,2.0749630412622723e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00013109305925609814,0.0,0.0,0.0,0.0
alp,8.891294089744572e-05,5.177855601113248e-06,0.0,0.0,4.644480315244124e-06,0.00014663825672650303,0.0,2.6150890748666012e-06,5.818944114677596e-06,0.0,0.0,1.222630477974058e-06,1.0006474797298438e-06,3.0455206365251013e-06,7.614366335912205e-06,9.178916036861323e-07
h_l,0.0,0.0,0.0,0.0,8.299852165049089e-05,0.0,0.0,0.0,0.0,0.0,4.118762861567608e-06,0.0,0.0,0.000125856751633569,0.0,0.0
xty,0.0,0.0,0.0,0.0,3.4367384222371006e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jer,0.0,3.844928995566063e-05,3.550072389988319e-05,0.00010817425250033054,4.118041321758704e-05,3.799963598352898e-05,3.471333834318196e-05,3.1881794499531095e-05,3.600819314932237e-05,3.873447195184955e-05,4.087117534426643e-05,0.00018767593050248135,3.548907425888925e-05,0.0,3.4811385360470553e-05,0.0
woy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.792048039224277e-06
nac,0.0005970344113461363,3.180362469453024e-06,0.0,7.647903888921941e-05,1.4263753204647057e-05,1.6199409444682373e-06,0.0,0.0,2.9784452773245677e-06,2.9814548836022752e-06,0.0,7.697430356024499e-05,0.0,0.0,0.0,1.4094773166143262e-06
niw,1.2545120517639289e-05,1.1494247417341272e-05,0.0,0.0,0.0,7.80623894122852e-06,0.0,0.0,1.0764492181442497e-05,8.979474411307917e-05,0.0,0.0,9.625732976669085e-05,0.0,5.282194583387953e-06,4.075228823608058e-05
baw,1.8512694925282837e-05,2.067235605124504e-05,4.842915967136529e-05,0.0,0.0,3.6448671250183395e-05,3.60712134005724e-05,7.161198423485935e-05,7.073807533577545e-05,1.714336558054755e-05,7.99850260590698e-05,0.0,7.91325259157409e-05,4.092006297404989e-05,0.00010303851503677217,0.0
_eh,0.0,0.0,1.0319711639526427e-05,0.0,0.0,0.0,9.645642876938224e-06,1.1409130440288332e-05,1.0154773398300612e-05,0.0,0.0,0.0,1.0477517784650696e-05,0.0,9.96600455198577e-06,0.0
gsa,0.00012652000121760027,0.0002398776597233753,6.772445790131562e-05,0.0,0.0,0.00020402881474233255,0.00019245483169675882,0.00016810400736116395,0.00020422557308570898,9.145639210853367e-05,0.00017319160552132902,0.0,0.00017966343843562682,6.666413268555738e-05,8.228145630656677e-05,3.5605986937977298e-06
tne,0.0,0.0,0.0,0.0,0.00016754099808607292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.659861250115064e-05
jab,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.428199739950299e-05,0.0,8.450884499149953e-06,0.0,0.0
bya,0.0,0.0,0.0,0.0,0.0,0.0,6.751950013856757e-05,9.127304352230664e-06,5.077386699150306e-06,0.0,6.51590318331868e-05,0.0,0.0,0.0,0.00010215154665785415,3.604126002220884e-05
sel,2.5957082207047833e-07,7.134816872438116e-07,3.3951828296243285e-07,2.767304458957045e-07,3.959909260588495e-05,1.817085645733507e-07,1.1106950249328962e-06,6.005762195671398e-07,3.3409181850180357e-07,6.688588112913127e-07,1.5879486631278045e-07,2.1059018527696285e-06,1.7235505081013114e-07,0.0,4.918219914972267e-07,1.2648070949759692e-06
cch,0.0,0.0,0.0,0.0,2.5775538166778258e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eaf,0.0,0.0,0.0,0.0,4.295923027796376e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mgu,0.0,0.0,0.0,0.0,0.0,5.854679205886196e-06,0.0,0.0,5.3822460906888945e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iro,0.0,3.271058996227844e-05,1.6931114475328906e-05,1.2909684454771958e-05,6.434439565247975e-07,3.0399708786823187e-05,1.27622567438169e-05,9.178092355925617e-06,1.9885121589924293e-05,1.022159676507141e-05,1.0217793836066608e-06,1.0162956525405129e-05,7.20871820883688e-06,0.0,0.0001123458345724277,0.0
hei,0.0,0.0,0.0,0.0,0.0012243380629366866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.09403602947945e-06
gde,6.15099356433348e-05,0.0,0.0,0.0,0.0,5.5860434703032783e-05,0.0,3.846412061911681e-06,2.139703102792744e-06,3.855357345299092e-05,1.8306134086888027e-05,0.0,0.0,0.0,0.0,6.0753769974609864e-06
